Id,SalePrice
1461,124708.52700162193
1462,159552.51738583817
1463,184046.2450730506
1464,205588.9284367834
1465,190720.45530042992
1466,171785.2369115331
1467,172887.4715671584
1468,168715.72942599037
1469,182767.23585615313
1470,126638.43560733266
1471,185449.5948474403
1472,94675.08534228767
1473,94233.1762086209
1474,149549.23958336344
1475,116577.78202789469
1476,404372.14382369403
1477,254624.24248158213
1478,300091.8293016083
1479,306469.43919038924
1480,446361.34176798735
1481,330573.7960306335
1482,205320.9683205716
1483,171726.62880012277
1484,167529.48293147705
1485,176789.4154237858
1486,197967.9789624169
1487,371606.3452053259
1488,234425.82006961168
1489,202270.4603365255
1490,247311.6428699011
1491,192886.21343660305
1492,83894.80018473635
1493,173858.3005217614
1494,281223.6607283539
1495,276638.71405081515
1496,244566.88022866365
1497,180200.7315206982
1498,170014.5632354783
1499,165642.94963995027
1500,162022.31437760437
1501,176325.78244384445
1502,146276.46762009166
1503,294504.51992598607
1504,243382.39717193166
1505,225758.61345932036
1506,184915.33132713064
1507,257114.9940217304
1508,195546.955951262
1509,162151.85389198794
1510,146121.61035907237
1511,149727.78804868046
1512,170215.58667242003
1513,151794.16706069143
1514,163686.21109647452
1515,190704.02254915214
1516,154080.2735111886
1517,157268.1356346857
1518,131308.54455113344
1519,220424.76030427858
1520,132096.39593166992
1521,135514.06651554076
1522,174073.41121773655
1523,114622.12479627365
1524,128299.99767208513
1525,125655.97654516394
1526,113806.98392892459
1527,101621.64807959979
1528,131244.14661355366
1529,154606.09092994707
1530,177420.01012845247
1531,104344.94440279812
1532,94552.82102572026
1533,145122.60208530485
1534,123394.43136404289
1535,147777.99061753816
1536,108720.18406440086
1537,62396.522336711845
1538,144476.85090470017
1539,191444.43928755046
1540,92470.23168559624
1541,144384.39596406673
1542,142723.751787044
1543,198083.07054211278
1544,80107.0880103989
1545,111627.31257951385
1546,131889.34064182395
1547,140173.24447539006
1548,141524.38872207396
1549,117866.72792697846
1550,139934.3951138507
1551,104887.33050200567
1552,137222.7323341233
1553,155096.35481513006
1554,113587.49693251742
1555,172506.46611505453
1556,83488.38986770801
1557,107277.7864668569
1558,99079.61314181506
1559,71777.61007489728
1560,133915.1754843448
1561,139137.1527891318
1562,128626.2793537691
1563,123600.20029841218
1564,158714.26102956233
1565,155048.89446022557
1566,239814.10403836146
1567,76110.80888289574
1568,241358.96994847915
1569,133757.31773720085
1570,137489.67923397163
1571,117632.51238668809
1572,145979.48203808937
1573,246466.4350154937
1574,108225.27833527052
1575,238045.7755926751
1576,255603.52821248598
1577,186332.0572491974
1578,139950.48294523943
1579,152091.92612941907
1580,191546.81960828468
1581,150775.89962657687
1582,128323.21730926484
1583,310710.61149386544
1584,224574.02840132886
1585,138469.30500359304
1586,65558.95771352881
1587,101514.46835253196
1588,152661.455984959
1589,93523.21843136067
1590,129354.70103285694
1591,96374.92270134363
1592,117194.81109791342
1593,123067.13298935718
1594,144371.06333597237
1595,134059.28613806705
1596,241411.56996419927
1597,178126.53537619978
1598,207670.45420910543
1599,172485.15245903312
1600,169317.67040713222
1601,54619.951681633436
1602,117943.54896371471
1603,68996.14386084376
1604,281889.12595199514
1605,243858.16408611753
1606,170132.14528214533
1607,168702.05703581145
1608,223086.64398660592
1609,179743.4082019535
1610,150845.85620872598
1611,137165.48456520907
1612,170098.62247335535
1613,168909.8281316197
1614,127372.18781108204
1615,91007.52598181953
1616,69758.10281550858
1617,93212.73620852277
1618,134169.15210585805
1619,144087.86180564514
1620,176009.9164596308
1621,133759.58697825827
1622,140357.90618166735
1623,275820.1652742234
1624,207157.7836831339
1625,123048.5339946261
1626,155226.81757690734
1627,186736.638296367
1628,272142.23227949376
1629,177559.3238910854
1630,363744.02175414853
1631,220292.91848230432
1632,246804.74248603382
1633,170149.49961773888
1634,187468.3614220436
1635,171353.5001286151
1636,159187.04889272669
1637,204240.9395516722
